asset_id,type,tool,prompt_summary,iterations,manual_edit_minutes,main_problems,godot_import_notes,final_path
generatedplayerrunning.png,sprite_sheet,gpt-4o,"Asked the AI to generate four frames of a running animation for a 64x64 player character, then asked 3 more times and the AI did not change anything each ask.",4,"Removed black background. Also character was too big, resized sprite scale in godot to compensate","Character's running animation has two sets of near identical frames, and as such the character's right arm is always back rather than alternating between left and right. ",N/A,res://assets/generated/generatedplayerrunning.png
generatedrobot.png,sprite_sheet,gpt-4o,"Asked for two variants of a robot with a single wheel on the bottom. One variant is green, and the other is black. Both variants must face the left in the animation. Generated robots are facing the right.",2,,,N/A,res://assets/generated/generatedrobot.png
generatedbubble.png,sprite_sheet,gpt-4o,Asked the AI to generate a bubble for a bubble bop clone style game. Then asked the AI to generate a sprite sheet of it popping,2,Rearranged the sprites in a more appealing order,,N/A,res://assets/generated/generatedbubble.png
generatedpop.png,sprite_sheet,gpt-4o,"Asked the AI for an image similar to the popping bubble, but with an explosion instead.",1,,,N/A,res://assets/generated/generatedpop.png
generatedplayerfalling.png,sprite_sheet,gpt-4o,"Asked the AI for a single image of the player falling, facing forwards",1,Removed black background.,Asked the AI to remove black background and it removed all the black pixels. Had to manually re-add black pixels to eyes and cap,N/A,res://assets/generated/generatedplayerfalling.png
generatedplayeridle.png,sprite_sheet,gpt-4o,"Asked the AI for two transparent pngs of the same player character, but idle. One facing the screen, another facing the side",1,,,N/A,res://assets/generated/generatedplayeridle.png
generatedrobot1trapped.png,sprite_sheet,Aseprite,N/A,N/A,I made both of these sprite sheets by combining the generated bubble and robot sprite sheets.,,N/A,res://assets/generated/generatedrobot1trapped.png
generatedrobot2trapped.png,sprite_sheet,Aseprite,N/A,N/A,I made both of these sprite sheets by combining the generated bubble and robot sprite sheets.,,N/A,res://assets/generated/generatedrobot2trapped.png
generatedbrick.png,sprite,gpt-4o,Asked the AI for an exactly 25x25 red brick.,1,"Resized red brick to 25x25, also had to remove black border as it was not transparent",AI generated the wrong size of brick,N/A,res://assets/generated/generatedbrick.png
generatedgameover.png,sprite,gpt-4o,Attached the character idle and asked for a game over image with the character in the background in a game over pose,1,Had to resize the game over image as it was massively too large for the game size,,N/A,res://assets/generated/generatedgameover.png
